airport,airport_iata,country,city,rental_length,start_date,start_time,return_date,return_time,date_offset,deposit_price,drive_away_price,price,currency,product_name,product_id,airbags,aircon,free_cancellation,doors,group,seats,fuel_type,transmission,mileage,supplier_name,supplier_address,supplier_loction_type,average,average_text,cleanliness,condition,dropoff_time,efficiency,location,pickup_time,value_for_money,no_of_ratings,RunDate,setup_prams,tid
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,106.25,106.25,106.25,GBP,Volkswagen Passat,728723226,1,1,1,4,Standard,5,N/A,Manual,200 miles per rental,Surprice,"Heathrow Airport, 450 Bath Road, London, UK, UB7 0EB",Meet & Greet,5.60,,7.00,7.00,5.50,6.30,4.50,4.00,6.10,210,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269289
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,131.98,131.98,131.98,GBP,Citroen C3 Aircross,710800766,1,1,1,4,Compact,5,N/A,Manual,Unlimited mileage,Budget,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.10,Excellent,8.50,7.90,9.30,8.30,8.30,7.40,7.30,2757,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269290
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,92.06,92.06,92.06,GBP,Fiat 500,699340901,1,1,1,2,Mini,4,N/A,Manual,400 miles per rental,Keddy By Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.40,Excellent,8.80,8.30,9.60,8.80,8.50,7.60,7.80,2071,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269291
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,110.47,110.47,110.47,GBP,Ford Focus,699242306,1,1,1,4,Compact,5,N/A,Manual,400 miles per rental,Keddy By Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.40,Excellent,8.80,8.30,9.60,8.80,8.50,7.60,7.80,2071,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269292
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,112.61,134.01,112.61,GBP,Ford Focus,700671878,1,1,1,4,Compact,5,N/A,Manual,Unlimited mileage,Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.50,Excellent,8.90,8.70,9.60,8.80,8.90,7.50,7.30,5966,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269293
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,131.98,131.98,131.98,GBP,Vauxhall Astra,537142623,1,1,1,4,Compact,5,N/A,Manual,Unlimited mileage,Hertz,"Northern Perimeter Road, Hounslow, London, UK, TW6 2QD",Shuttle Bus,7.80,Very good,8.80,8.70,8.80,7.60,8.00,6.00,7.40,3146,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269294
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,100.30,100.30,100.30,GBP,Fiat 500,711632846,1,0,1,2,Mini,4,N/A,Manual,Unlimited mileage,Budget,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.10,Excellent,8.50,7.90,9.30,8.30,8.30,7.40,7.30,2757,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269295
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,100.30,100.30,100.30,GBP,Fiat 500,668700381,1,1,1,2,Mini,4,N/A,Manual,Unlimited mileage,Avis,"London Heathrow Airport T2-3-4, Northrop Road, London, UK, TW6 2QA",Shuttle Bus,8.10,Excellent,8.60,8.10,9.20,8.40,8.10,7.20,7.30,1533,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269296
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,197.25,197.25,197.25,GBP,Nissan Qashqai,713364951,1,1,1,4,Intermediate,5,N/A,Manual,Unlimited mileage,Enterprise,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.30,Excellent,8.20,8.10,9.00,8.70,8.80,7.60,7.80,1890,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269297
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,377.96,377.96,377.96,GBP,Volvo XC40,743014606,1,1,1,5,Standard,5,N/A,Automatic,Unlimited mileage,Enterprise,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.30,Excellent,8.20,8.10,9.00,8.70,8.80,7.60,7.80,1890,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269298
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,95.76,113.95,95.76,GBP,Vauxhall Corsa,700717048,1,1,1,2/4,Economy,4,N/A,Manual,Unlimited mileage,Europcar,"Northern Perimeter Road West, Hounslow, London, UK, TW6 2QE",Shuttle Bus,8.50,Excellent,8.90,8.70,9.60,8.80,8.90,7.50,7.30,5966,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269299
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,248.18,248.18,248.18,GBP,Volvo XC40,738556376,1,1,1,5,Standard,5,N/A,Automatic,Unlimited mileage,Alamo,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.10,Excellent,8.40,8.20,9.10,8.20,8.10,7.70,7.40,2627,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269300
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,114.68,114.68,114.68,GBP,Vauxhall Corsa,712343161,1,1,1,2,Economy,4,N/A,Manual,Unlimited mileage,Alamo,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.10,Excellent,8.40,8.20,9.10,8.20,8.10,7.70,7.40,2627,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269301
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,104.43,104.43,104.43,GBP,Toyota Aygo,712412361,1,1,1,2,Mini,4,N/A,Manual,Unlimited mileage,Alamo,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.10,Excellent,8.40,8.20,9.10,8.20,8.10,7.70,7.40,2627,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269302
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,206.77,206.77,206.77,GBP,Nissan Qashqai   ,712381201,1,1,1,4,Intermediate,5,N/A,Automatic,Unlimited mileage,Alamo,"Northern Perimeter Road, Hounslow, London, UK, TW6 2RY",Shuttle Bus,8.10,Excellent,8.40,8.20,9.10,8.20,8.10,7.70,7.40,2627,2023-07-23 05:05:17,device=Pixel 4&network_type=wifi&languagecode=en&display=normal_xxhdpi&cor=GB&currency=GBP,4269303
